,id,relid,year,type_of_violence,country,country_id,fatality_best_estimate,gwnoa,gwnob,conflict_event,iso
357,503441,DRC-2023-3-934-70,2023,3,DR Congo (Zaire),490,1,490.0,,2023-10-30 00:00:00.000,COD
358,503440,DRC-2023-3-934-69,2023,3,DR Congo (Zaire),490,1,490.0,,2023-11-12 00:00:00.000,COD
359,502857,AFG-2023-3-973-416,2023,3,DR Congo (Zaire),490,26,,,2023-09-21 00:00:00.000,COD
360,499579,AFG-2023-3-973-393.1,2023,3,DR Congo (Zaire),490,2,,,2023-11-05 00:00:00.000,COD
361,499587,AFG-2023-3-973-393.2,2023,3,DR Congo (Zaire),490,4,,,2023-11-05 00:00:00.000,COD
362,499588,AFG-2023-3-973-393.3,2023,3,DR Congo (Zaire),490,5,,,2023-11-05 00:00:00.000,COD
363,499576,AFG-2023-3-973-392,2023,3,DR Congo (Zaire),490,6,,,2023-11-06 00:00:00.000,COD
364,501140,AFG-2023-3-973-395,2023,3,DR Congo (Zaire),490,1,,,2023-11-10 00:00:00.000,COD
365,501143,AFG-2023-3-973-396.1,2023,3,DR Congo (Zaire),490,42,,,2023-11-12 00:00:00.000,COD
366,501152,AFG-2023-3-973-397,2023,3,DR Congo (Zaire),490,4,,,2023-11-12 00:00:00.000,COD
367,502510,AFG-2023-3-973-414,2023,3,DR Congo (Zaire),490,21,,,2023-11-23 00:00:00.000,COD
368,503442,AFG-2023-3-973-421,2023,3,DR Congo (Zaire),490,8,,,2023-11-27 00:00:00.000,COD
369,499573,DRC-2023-3-2434-19,2023,3,DR Congo (Zaire),490,15,,,2023-11-04 00:00:00.000,COD
370,501944,DRC-2023-3-2434-20,2023,3,DR Congo (Zaire),490,16,,,2023-11-21 00:00:00.000,COD
380,502854,DRC-2023-3-16065-100,2023,3,DR Congo (Zaire),490,26,,,2023-09-21 00:00:00.000,COD
381,503475,DRC-2023-3-16065-101,2023,3,DR Congo (Zaire),490,1,,,2023-11-22 00:00:00.000,COD
383,503023,DRC-2023-3-17488-9,2023,3,DR Congo (Zaire),490,9,,,2023-11-14 00:00:00.000,COD
387,503054,DRC-2023-3-17671-0,2023,3,DR Congo (Zaire),490,2,,,2023-11-18 00:00:00.000,COD
727,502824,SWA-2023-3-3-XXX572-8,2023,3,Kingdom of eSwatini (Swaziland),572,1,,,2023-11-20 00:00:00.000,SWZ
1047,500178,MYA-2023-3-955-298,2023,3,Myanmar (Burma),775,3,775.0,,2023-11-14 00:00:00.000,MMR
1048,499996,MYA-2023-3-955-297,2023,3,Myanmar (Burma),775,10,775.0,,2023-11-15 00:00:00.000,MMR
1049,499813,MYA-2023-3-955-296,2023,3,Myanmar (Burma),775,12,775.0,,2023-11-16 00:00:00.000,MMR
1366,503906,AFG-2023-3-973-422,2023,3,Syria,652,1,,,2023-11-18 00:00:00.000,SYR
1367,503975,SYR-2023-3-1178-1,2023,3,Syria,652,1,652.0,,2023-11-04 00:00:00.000,SYR
1368,503816,SYR-2023-3-3-XXX652-127,2023,3,Syria,652,1,,,2023-11-10 00:00:00.000,SYR
1369,503838,SYR-2023-3-3-XXX652-128,2023,3,Syria,652,1,,,2023-11-29 00:00:00.000,SYR
1417,503905,SYR-2023-3-14200-3,2023,3,Syria,652,1,,,2023-11-18 00:00:00.000,SYR
1442,503988,SYR-2023-3-14773-7,2023,3,Syria,652,1,,,2023-11-10 00:00:00.000,SYR
1443,503985,SYR-2023-3-14773-6,2023,3,Syria,652,1,,,2023-11-10 00:00:00.000,SYR
1444,503903,SYR-2023-3-14773-8,2023,3,Syria,652,1,,,2023-11-18 00:00:00.000,SYR
1445,503854,SYR-2023-3-14773-5,2023,3,Syria,652,1,,,2023-11-26 00:00:00.000,SYR
2139,501694,VEN-2023-3-914-27,2023,3,Venezuela,101,1,101.0,,2023-11-12 00:00:00.000,VEN
2140,501829,VEN-2023-3-914-29,2023,3,Venezuela,101,1,101.0,,2023-11-22 00:00:00.000,VEN
2141,501806,VEN-2023-3-3-XXX101-22,2023,3,Venezuela,101,1,,,2023-11-05 00:00:00.000,VEN
2142,501827,VEN-2023-3-3-XXX101-24,2023,3,Venezuela,101,1,,,2023-11-30 00:00:00.000,VEN
2143,500657,YEM-2023-3-1182-8,2023,3,Yemen (North Yemen),678,2,678.0,,2023-11-17 00:00:00.000,YEM
2144,502214,YEM-2023-3-1182-9,2023,3,Yemen (North Yemen),678,1,678.0,,2023-11-23 00:00:00.000,YEM
2165,501459,ZIM-2023-3-943-0,2023,3,Zimbabwe (Rhodesia),552,1,552.0,,2023-11-09 00:00:00.000,ZWE
